timestamp,city,temperature,humidity,pressure,wind_speed,aqi,pm2_5
2026-05-07 12:16:05,Casablanca,22.93,49,1011,5.08,3,2.94
2026-05-07 11:16:05,Casablanca,22.93,49,1011,5.08,3,2.93
2026-05-07 10:16:05,Casablanca,22.93,49,1011,5.08,3,3.26
2026-05-07 09:16:05,Casablanca,22.93,49,1011,5.08,3,3.59
2026-05-07 08:16:05,Casablanca,22.93,49,1011,5.08,3,3.63
2026-05-07 07:16:05,Casablanca,22.93,49,1011,5.08,3,3.67
2026-05-07 06:16:05,Casablanca,22.93,49,1011,5.08,3,3.65
2026-05-07 05:16:05,Casablanca,22.93,49,1011,5.08,3,3.63
2026-05-07 04:16:05,Casablanca,22.93,49,1011,5.08,3,3.64
2026-05-07 03:16:05,Casablanca,22.93,49,1011,5.08,3,3.63
2026-05-07 02:16:05,Casablanca,22.93,49,1011,5.08,2,3.49
2026-05-07 01:16:05,Casablanca,22.93,49,1011,5.08,2,3.31
2026-05-07 00:16:05,Casablanca,22.93,49,1011,5.08,2,3.15
2026-05-06 23:16:05,Casablanca,22.93,49,1011,5.08,2,2.97
2026-05-06 22:16:05,Casablanca,22.93,49,1011,5.08,2,2.79
2026-05-06 21:16:05,Casablanca,22.93,49,1011,5.08,3,2.64
2026-05-06 20:16:05,Casablanca,22.93,49,1011,5.08,3,2.52
2026-05-06 19:16:05,Casablanca,22.93,49,1011,5.08,3,2.53
2026-05-06 18:16:05,Casablanca,22.93,49,1011,5.08,3,2.72
2026-05-06 17:16:05,Casablanca,22.93,49,1011,5.08,3,2.91
2026-05-06 16:16:05,Casablanca,22.93,49,1011,5.08,3,3.21
2026-05-06 15:16:05,Casablanca,22.93,49,1011,5.08,3,3.66
2026-05-06 14:16:05,Casablanca,22.93,49,1011,5.08,3,4.09
2026-05-06 13:16:05,Casablanca,22.93,49,1011,5.08,3,4.57
2026-05-06 12:16:05,Casablanca,22.93,49,1011,5.08,3,4.59
2026-05-06 11:16:05,Casablanca,22.93,49,1011,5.08,3,4.18
2026-05-06 10:16:05,Casablanca,22.93,49,1011,5.08,3,4.01
2026-05-06 09:16:05,Casablanca,22.93,49,1011,5.08,2,4.32
2026-05-06 08:16:05,Casablanca,22.93,49,1011,5.08,2,4.08
2026-05-06 07:16:05,Casablanca,22.93,49,1011,5.08,2,3.85
2026-05-06 06:16:05,Casablanca,22.93,49,1011,5.08,2,3.58
2026-05-06 05:16:05,Casablanca,22.93,49,1011,5.08,2,3.35
2026-05-06 04:16:05,Casablanca,22.93,49,1011,5.08,2,3.17
2026-05-06 03:16:05,Casablanca,22.93,49,1011,5.08,2,3.03
2026-05-06 02:16:05,Casablanca,22.93,49,1011,5.08,2,2.88
2026-05-06 01:16:05,Casablanca,22.93,49,1011,5.08,2,2.73
2026-05-06 00:16:05,Casablanca,22.93,49,1011,5.08,2,2.6
2026-05-05 23:16:05,Casablanca,22.93,49,1011,5.08,2,2.47
2026-05-05 22:16:05,Casablanca,22.93,49,1011,5.08,2,2.4
2026-05-05 21:16:05,Casablanca,22.93,49,1011,5.08,3,2.49
2026-05-05 20:16:05,Casablanca,22.93,49,1011,5.08,3,2.74
2026-05-05 19:16:05,Casablanca,22.93,49,1011,5.08,3,3.16
2026-05-05 18:16:05,Casablanca,22.93,49,1011,5.08,3,3.76
2026-05-05 17:16:05,Casablanca,22.93,49,1011,5.08,3,4.24
2026-05-05 16:16:05,Casablanca,22.93,49,1011,5.08,3,4.51
2026-05-05 15:16:05,Casablanca,22.93,49,1011,5.08,3,4.54
2026-05-05 14:16:05,Casablanca,22.93,49,1011,5.08,3,4.29
2026-05-05 13:16:05,Casablanca,22.93,49,1011,5.08,3,4.25
2026-05-05 12:16:05,Casablanca,22.93,49,1011,5.08,3,4.39
2026-05-05 11:16:05,Casablanca,22.93,49,1011,5.08,3,3.91
2026-05-05 10:16:05,Casablanca,22.93,49,1011,5.08,3,3.71
2026-05-05 09:16:05,Casablanca,22.93,49,1011,5.08,2,3.86
2026-05-05 08:16:05,Casablanca,22.93,49,1011,5.08,2,3.71
2026-05-05 07:16:05,Casablanca,22.93,49,1011,5.08,2,3.65
2026-05-05 06:16:05,Casablanca,22.93,49,1011,5.08,2,3.55
2026-05-05 05:16:05,Casablanca,22.93,49,1011,5.08,2,3.38
2026-05-05 04:16:05,Casablanca,22.93,49,1011,5.08,2,3.2
2026-05-05 03:16:05,Casablanca,22.93,49,1011,5.08,2,3.03
2026-05-05 02:16:05,Casablanca,22.93,49,1011,5.08,2,2.88
2026-05-05 01:16:05,Casablanca,22.93,49,1011,5.08,2,2.78
